epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,23910.3,1.2341,0.92526,0.0074,0.80042,0.79654,0.85477,0.57526,1.2197,0.80652,0.00848,6.59152e-05,6.59152e-05,6.59152e-05
71,24290.3,1.24401,0.94237,0.00753,0.80559,0.79362,0.85668,0.57771,1.21529,0.80652,0.00842,6.3856e-05,6.3856e-05,6.3856e-05
72,24549.5,1.26335,0.94028,0.00749,0.7951,0.80617,0.85914,0.57898,1.21719,0.80441,0.0084,6.17968e-05,6.17968e-05,6.17968e-05
73,25033.3,1.25462,0.91106,0.00738,0.79678,0.7994,0.85736,0.57983,1.21462,0.79908,0.0084,5.97376e-05,5.97376e-05,5.97376e-05
74,25330.9,1.24809,0.929,0.00758,0.79198,0.80072,0.85625,0.5758,1.21574,0.79707,0.00842,5.76784e-05,5.76784e-05,5.76784e-05
75,25796.6,1.25889,0.92114,0.00738,0.79524,0.7999,0.85497,0.5779,1.2142,0.79408,0.00838,5.56192e-05,5.56192e-05,5.56192e-05
76,26089.5,1.24234,0.91142,0.00742,0.81048,0.79677,0.85723,0.5794,1.21249,0.79126,0.00837,5.356e-05,5.356e-05,5.356e-05
77,26520.7,1.26894,0.92919,0.00758,0.79668,0.80775,0.85921,0.57889,1.21333,0.78758,0.0084,5.15008e-05,5.15008e-05,5.15008e-05
78,26849.5,1.25501,0.92688,0.00746,0.79861,0.80549,0.85797,0.58013,1.20959,0.79042,0.00835,4.94416e-05,4.94416e-05,4.94416e-05
79,27126.9,1.23642,0.9253,0.00747,0.7961,0.80619,0.85928,0.57846,1.21473,0.7848,0.00842,4.73824e-05,4.73824e-05,4.73824e-05
80,27451.9,1.25412,0.9052,0.00741,0.83159,0.78476,0.85955,0.57938,1.21497,0.78248,0.00842,4.53232e-05,4.53232e-05,4.53232e-05
81,27939.2,1.23668,0.89704,0.00719,0.80532,0.80597,0.85973,0.58149,1.19878,0.7691,0.00829,4.3264e-05,4.3264e-05,4.3264e-05
82,28388,1.25868,0.91601,0.00737,0.80153,0.80367,0.85942,0.5809,1.21224,0.78082,0.00839,4.12048e-05,4.12048e-05,4.12048e-05
83,28798.3,1.24571,0.90129,0.00747,0.79981,0.81168,0.86398,0.58388,1.21166,0.77848,0.00838,3.91456e-05,3.91456e-05,3.91456e-05
84,29248.7,1.25014,0.9021,0.0075,0.80339,0.8041,0.86337,0.58301,1.20973,0.77462,0.00839,3.70864e-05,3.70864e-05,3.70864e-05
85,29794.8,1.24425,0.89428,0.0072,0.8039,0.80486,0.86151,0.58298,1.18407,0.75413,0.00817,3.50272e-05,3.50272e-05,3.50272e-05
86,30196.1,1.23964,0.91267,0.00739,0.79826,0.81213,0.86191,0.58284,1.21195,0.77428,0.00839,3.2968e-05,3.2968e-05,3.2968e-05
87,30673.1,1.25401,0.88706,0.00728,0.81334,0.80285,0.86226,0.58333,1.21245,0.77073,0.00839,3.09088e-05,3.09088e-05,3.09088e-05
88,31233.3,1.24292,0.89323,0.00731,0.82299,0.79928,0.85949,0.58119,1.20983,0.77218,0.00835,2.88496e-05,2.88496e-05,2.88496e-05
89,31710.8,1.24271,0.89357,0.00748,0.80854,0.79945,0.86131,0.58211,1.21172,0.76868,0.00838,2.67904e-05,2.67904e-05,2.67904e-05
90,32167.5,1.237,0.90411,0.00744,0.81253,0.80318,0.86162,0.58135,1.21301,0.76572,0.0084,2.47312e-05,2.47312e-05,2.47312e-05
91,32412.8,1.25742,0.90897,0.00937,0.80156,0.77415,0.84809,0.57102,1.22875,0.80505,0.00855,2.2672e-05,2.2672e-05,2.2672e-05
92,32658.3,1.24851,0.86006,0.00868,0.79583,0.79139,0.84856,0.57334,1.21939,0.79569,0.00848,2.06128e-05,2.06128e-05,2.06128e-05
93,32908.6,1.22988,0.82008,0.00845,0.79691,0.79772,0.8518,0.5742,1.22237,0.79593,0.00848,1.85536e-05,1.85536e-05,1.85536e-05
94,33127.7,1.24367,0.84737,0.00864,0.79565,0.79888,0.85158,0.57409,1.22375,0.79775,0.0085,1.64944e-05,1.64944e-05,1.64944e-05
95,33343.6,1.236,0.84611,0.00924,0.80505,0.79439,0.85315,0.57618,1.22276,0.79274,0.00848,1.44352e-05,1.44352e-05,1.44352e-05
96,33578.7,1.23233,0.83131,0.00852,0.8023,0.80168,0.85513,0.57617,1.22167,0.79203,0.00848,1.2376e-05,1.2376e-05,1.2376e-05
97,33816.6,1.23367,0.80774,0.00859,0.80754,0.79157,0.85522,0.57705,1.22081,0.78931,0.00846,1.03168e-05,1.03168e-05,1.03168e-05
98,34046.7,1.24336,0.82263,0.00861,0.79693,0.80529,0.85483,0.5769,1.22024,0.7887,0.00846,8.2576e-06,8.2576e-06,8.2576e-06
99,34272,1.23767,0.82224,0.00865,0.80658,0.79398,0.85508,0.57654,1.22078,0.78836,0.00846,6.1984e-06,6.1984e-06,6.1984e-06
100,34504.5,1.22301,0.82113,0.00834,0.80122,0.80041,0.85416,0.57787,1.21992,0.78771,0.00846,4.1392e-06,4.1392e-06,4.1392e-06
